"","env_data_name","collection_name","wms_link","wms_base","wms_layer_name","legend_link",".added_at"
"1","seabedsubstrates","","https://spatial.naturalsciences.be/geoserver/od_nature/wms?service=WMS&version=1.1.0&request=GetMap&layers=od_nature%3Asubstrate_BPNS_Seafloor&bbox=3783778.2435288355%2C3135783.371861253%2C3859575.3740788964%2C3222401.382971901&width=672&height=768&srs=EPSG%3A3035&styles=&format=application/openlayers","https://spatial.naturalsciences.be/geoserver/od_nature/wms","od_nature:seabed_substrate_map","https://spatial.naturalsciences.be/geoserver/od_nature/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=od_nature:seabed_substrate_map&VERSION=1.1.1",2026-02-06 13:06:14.98821
"2","shipwrecks","","https://geo.vliz.be/geoserver/Kustportaal/wms?service=WMS&version=1.1.0&request=GetMap&layers=Kustportaal%3Ascheepswrakken_20180604&bbox=2.305333333%2C51.11496667%2C4.39055%2C51.84788333&width=768&height=330&srs=EPSG%3A4326&styles=&format=application/openlayers","https://geo.vliz.be/geoserver/Kustportaal/wms","Kustportaal:scheepswrakken_20180604","",2026-02-06 13:06:14.980613
"3","eez","","https://geo.vliz.be/geoserver/MarineRegions/wms?service=WMS&version=1.1.0&request=GetMap&layers=MarineRegions%3Aeez&bbox=-180.0%2C-62.78834217149148%2C180.0%2C86.99400535016684&width=768&height=330&srs=EPSG%3A4326&styles=&format=application/openlayers","https://geo.vliz.be/geoserver/MarineRegions/wms","eez","",2026-02-06 13:06:14.975066
"4","seabedhabitats","","https://ows.emodnet-seabedhabitats.eu/geoserver/emodnet_view/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=eusm_eunis2019_group&VERSION=1.3.0&CRS=CRS:84&BBOX=-180,-90,180,90&WIDTH=800&HEIGHT=600&FORMAT=image/png","https://ows.emodnet-seabedhabitats.eu/geoserver/emodnet_view/wms","eusm_eunis2019_group","https://ows.emodnet-seabedhabitats.eu/geoserver/emodnet_view/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=eusm_eunis2019_group&VERSION=1.1.1",2026-02-06 13:06:14.969187
"5","shipwrecks_emodnet","emodnet-cultural_heritage","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=heritageshipwrecks&VERSION=1.1.1&CRS=CRS:84&BBOX=-176.32,-49.57,171.4,57.18&WIDTH=800&HEIGHT=600&FORMAT=image/png","https://ows.emodnet-humanactivities.eu/wms","heritageshipwrecks","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=heritageshipwrecks&VERSION=1.1.1",2026-02-06 13:06:14.962625
"6","bathy_multicolor","emodnet-elevation","http://ows.emodnet-bathymetry.eu/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=emodnet:mean&VERSION=1.1.1&CRS=CRS:84&BBOX=-35,13.999,44.001,90&WIDTH=800&HEIGHT=600&FORMAT=image/png","http://ows.emodnet-bathymetry.eu/wms","emodnet:mean_multicolour","http://ows.emodnet-bathymetry.eu/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=emodnet:mean_multicolour&VERSION=1.1.1",2026-02-06 13:06:14.833262
"7","bathy_atlas","emodnet-elevation","http://ows.emodnet-bathymetry.eu/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=emodnet:mean&VERSION=1.1.1&CRS=CRS:84&BBOX=-35,13.999,44.001,90&WIDTH=800&HEIGHT=600&FORMAT=image/png","http://ows.emodnet-bathymetry.eu/wms","mean_atlas_land","http://ows.emodnet-bathymetry.eu/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=mean_atlas_land&VERSION=1.1.1",2026-02-06 13:06:14.826384
"8","sea_conventions","emodnet-protected_areas","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=marineprotectedareas&VERSION=1.1.1&CRS=CRS:84&BBOX=-41.7,32.7,35.9,81.03&WIDTH=800&HEIGHT=600&FORMAT=image/png","https://ows.emodnet-humanactivities.eu/wms","marineprotectedareas","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=marineprotectedareas&VERSION=1.1.1",2026-02-06 13:06:14.545838
"9","natura2000","emodnet-protected_areas","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=emodnet:natura2000areas&VERSION=1.1.1&CRS=CRS:84&BBOX=-29.2,27.43,34.4,67.46&WIDTH=800&HEIGHT=600&FORMAT=image/png","https://ows.emodnet-humanactivities.eu/wms","emodnet:natura2000areas","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=emodnet:natura2000areas&VERSION=1.1.1",2026-02-06 13:06:14.539139
"10","stac_eez","emodnet-maritime_spatial_planning","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=mspspatialplan&VERSION=1.1.1&CRS=CRS:84&BBOX=2.137,50.994,27.846,65.865&WIDTH=800&HEIGHT=600&FORMAT=image/png","https://ows.emodnet-humanactivities.eu/wms","mspspatialplan","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=mspspatialplan&VERSION=1.1.1",2026-02-06 13:06:14.399554
"11","msp","emodnet-maritime_spatial_planning","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=mspzoningpoly&VERSION=1.1.1&CRS=CRS:84&BBOX=2.01,50.89,27.89,65.91&WIDTH=800&HEIGHT=600&FORMAT=image/png","https://ows.emodnet-humanactivities.eu/wms","mspzoningpoly","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=mspzoningpoly&VERSION=1.1.1",2026-02-06 13:06:14.392561
"12","spc","emodnet-cables","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=emodnet:powercables&VERSION=1.1.1&CRS=CRS:84&BBOX=-151.67,-22.23,71.09,166.52&WIDTH=800&HEIGHT=600&FORMAT=image/png","https://ows.emodnet-humanactivities.eu/wms","emodnet:powercables","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=emodnet:powercables&VERSION=1.1.1",2026-02-06 13:06:14.252347
"13","owf","emodnet-wind_farm_power_mw","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetMap&LAYERS=windfarmspoly&VERSION=1.1.1&CRS=CRS:84&BBOX=-7.1,48.78,26.41,66.84&WIDTH=800&HEIGHT=600&FORMAT=image/png","https://ows.emodnet-humanactivities.eu/wms","windfarmspoly","https://ows.emodnet-humanactivities.eu/wms?SERVICE=WMS&REQUEST=GetLegendGraphic&FORMAT=image/png&LAYER=windfarmspoly&VERSION=1.1.1",2026-02-06 13:06:14.121825
"14","seabass acoustic detections","animal_tracking_datasets","https://www.lifewatch.be/etn/parquet/detections/PhD_Goossens/PhD_Goossens_detections.parquet","","","",2026-02-06 13:06:14.016114
